,alpha004,alpha042,alpha027,alpha071,alpha061,alpha065,alpha075,alpha037,alpha074,alpha036,alpha033,alpha040,alpha007,alpha014,alpha054,alpha062,alpha006,alpha028,alpha030,alpha060,alpha056,alpha047,alpha025,alpha043,alpha032,alpha020,alpha018,alpha009,alpha023,momentum_12_1
alpha004,1.0,0.010427287965273094,-0.036061021099237235,0.18398308078142933,0.09357113295323859,0.10515969200931174,0.14946121235257806,,-0.022710927426621796,,,0.06833159962944814,0.04041861162159435,0.08077386197736808,0.04605577945763674,-0.017909080892088088,0.10908194719729221,-0.039040185938397746,0.13653226798154394,-0.05571729288227454,0.0808411126218491,0.3182831102643201,0.09750249638920155,0.11159200305744191,0.12344068475633636,0.12046330391136698,-0.023622138054050352,0.06311341981285276,0.14514270521945588,-0.0017561987252722713
alpha042,0.010427287965273094,1.0,0.002024581729841085,-0.05608528910677517,0.01272417244824172,0.015710758392378017,0.002441637433456617,,-0.015538811108683326,,,0.02784604271384501,0.003112088564965022,0.009016983054225413,0.002242219101620123,0.0028521648986552595,0.004354055945957301,0.0014849203537088992,0.007964336247606783,0.002896265807868726,0.0032934848050583175,0.02523928911952851,0.005063171256357453,0.00853794513286425,-0.0040853976593615525,0.002803238664343339,-0.013615065447988753,0.0036895950309762298,0.0036058463326704908,0.014104471887102711
alpha027,-0.036061021099237235,0.002024581729841085,1.0,0.13488575599757852,-0.007228700482705376,0.09278496257339633,-0.057102167093892535,,0.30058680729328346,,,0.1805944955835588,-0.0322342376079919,0.11447345907275255,0.00024635873457752274,0.07183460291117384,0.16442721680077285,-0.04481377327648734,0.02571663590569411,-0.03900278048129753,0.007881186620477307,0.038614983872552806,0.011986210355805861,0.03983501269764714,0.03965695546944656,0.03613562451332245,0.032796404410813114,-0.0007320596582801552,0.06529693808568558,0.016038891626318802
alpha071,0.18398308078142933,-0.05608528910677517,0.13488575599757852,1.0,0.11881210532735377,0.1482401981629966,-0.000965660831827805,,0.07025245957117997,,,0.17185756662154236,0.02240895154242778,0.09824813026441342,0.027140743950339396,0.013301706854512617,0.1429558961987507,-0.0254489606894194,0.07111735808285492,-0.07529286321399734,0.01949304429080718,0.17485502689298466,0.0450880791814793,0.01881853425905649,0.0541652042625584,0.07408512167605061,0.001964721331372699,0.025385370420314107,0.08606754723394947,-0.02519436774103815
alpha061,0.09357113295323859,0.01272417244824172,-0.007228700482705376,0.11881210532735377,1.0,0.16918769091060437,0.12803978337096425,,-0.021325624139224075,,,0.18185303878861667,0.08103764784831868,0.03346388131845328,0.04849602308343076,-0.018015369836719086,0.037901487911581815,0.031137296459379984,0.11739183937417713,-0.010914482414817732,0.030492282609707034,0.19949521178506033,0.09532308123788318,0.0855087189886642,0.05530016130740968,0.0968326488356185,-0.058465425922337756,0.07511943665164487,0.08136320841275604,-0.15259606331878742
alpha065,0.10515969200931174,0.015710758392378017,0.09278496257339633,0.1482401981629966,0.16918769091060437,1.0,-0.03528026667911408,,0.18485495958877782,,,0.19403208372723263,-0.07372501146603803,0.08215979829669103,0.11275386357912735,0.19939146891531112,0.07597280441789364,0.1062935161301976,0.10786648817244755,0.00015978856992925842,0.03165390260817708,0.22859195419509362,0.13925420476049222,0.07604212194069776,0.06881034151629718,0.1435982962955952,-0.027391774096289002,0.1357174527224862,0.09061361028055201,-0.12858094451356095
alpha075,0.14946121235257806,0.002441637433456617,-0.057102167093892535,-0.000965660831827805,0.12803978337096425,-0.03528026667911408,1.0,,-0.0653328486435379,,,0.09620965956987874,0.0834082263445015,0.15983257586033064,0.05065002104295401,-0.062265554072448624,0.15134013471454774,0.014651571458368465,0.05769580671381227,0.02000731195210553,0.048926831719246326,0.10237133970100366,0.073486343354651,0.06894316615974165,0.042562984061514965,0.07668202915822626,-0.02964113598502396,0.06686918782694254,0.05292174461562082,0.018317868522770477
alpha037,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
alpha074,-0.022710927426621796,-0.015538811108683326,0.30058680729328346,0.07025245957117997,-0.021325624139224075,0.18485495958877782,-0.0653328486435379,,1.0,,,0.15618198871335662,-0.04747435634677388,0.14171981650927645,0.0022118281692733556,0.21440799447584363,0.16932245408271812,-0.025233475015638437,0.028486117100005114,-0.015411157775583332,0.021634778533200963,0.016325697664440957,0.01821578251124076,0.03155445628329681,0.02451865141405328,0.03770501425419992,0.03957464755376245,0.011872217817830296,0.04605168414425693,0.011749511865720232
alpha036,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
alpha033,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
alpha040,0.06833159962944814,0.02784604271384501,0.1805944955835588,0.17185756662154236,0.18185303878861667,0.19403208372723263,0.09620965956987874,,0.15618198871335662,,,1.0,0.09141845505505145,0.5930018205508002,0.017895857646694286,0.06153296879197762,0.6926634269466351,-0.11170192896697362,0.07196564199444191,-0.0458936068053864,0.05790364066991239,0.10818502316949115,0.05707779507843065,0.10848723071529416,0.0473805131703407,0.06270985033579551,-0.0039376429997429125,0.029155507010762662,0.13715597860548764,-0.03820553565516941
alpha007,0.04041861162159435,0.003112088564965022,-0.0322342376079919,0.02240895154242778,0.08103764784831868,-0.07372501146603803,0.0834082263445015,,-0.04747435634677388,,,0.09141845505505145,1.0,0.0608629010344251,-0.020027417253708067,-0.09217526327852345,0.0741276798923388,-0.036338934142950315,0.11572761008187452,0.012348450443940413,-0.0010792909208843379,0.16984747069884495,-0.02975135318386464,0.44547612986011326,0.012972750037082734,-0.04648419670583168,-0.0022164273350000307,-0.06274542974571745,-0.1538710038491059,-0.00534356740579046
alpha014,0.08077386197736808,0.009016983054225413,0.11447345907275255,0.09824813026441342,0.03346388131845328,0.08215979829669103,0.15983257586033064,,0.14171981650927645,,,0.5930018205508002,0.0608629010344251,1.0,0.16073202981357634,0.05721503445610418,0.8098446266887479,-0.029604089312271747,0.17722828334445437,0.0559271438798878,0.18230305996472,0.10348113687410711,0.21817822895205827,0.10362187608858404,0.08749168044935408,0.27328348613893894,0.021557697020805806,0.21263719126660652,0.19512824224043657,0.10630670467345224
alpha054,0.04605577945763674,0.002242219101620123,0.00024635873457752274,0.027140743950339396,0.04849602308343076,0.11275386357912735,0.05065002104295401,,0.0022118281692733556,,,0.017895857646694286,-0.020027417253708067,0.16073202981357634,1.0,-0.044698662141054404,0.032719486249888005,0.38443731796526454,0.2657496815678203,0.6445619082984341,0.36815108908439187,0.2600125328043648,0.439931091339617,0.1414772801182523,0.11693886547785586,0.5469760398193158,-0.005822639949503201,0.5060914102982047,0.1106251549707848,-0.03129780719450538
alpha062,-0.017909080892088088,0.0028521648986552595,0.07183460291117384,0.013301706854512617,-0.018015369836719086,0.19939146891531112,-0.062265554072448624,,0.21440799447584363,,,0.06153296879197762,-0.09217526327852345,0.05721503445610418,-0.044698662141054404,1.0,0.07565480172606724,0.028650358572610442,0.00733572726641437,-0.0549220859663663,-0.024749059983071673,-0.0008899805665632961,-0.024546533086463967,0.004603010225198612,-0.01062080570154613,-0.023653371402355454,0.017631269957874087,-0.026654842535563647,0.03993674392054508,-0.025715193172780787
alpha006,0.10908194719729221,0.004354055945957301,0.16442721680077285,0.1429558961987507,0.037901487911581815,0.07597280441789364,0.15134013471454774,,0.16932245408271812,,,0.6926634269466351,0.0741276798923388,0.8098446266887479,0.032719486249888005,0.07565480172606724,1.0,-0.14133308515182336,0.06576413326839349,-0.06328099175764745,0.0803218888938882,0.12659077061729263,0.07561092981749318,0.09288121386420167,0.0923236761893435,0.11751173995464874,0.030887004547295868,0.051751105616737306,0.13729422049270684,0.1299964255984809
alpha028,-0.039040185938397746,0.0014849203537088992,-0.04481377327648734,-0.0254489606894194,0.031137296459379984,0.1062935161301976,0.014651571458368465,,-0.025233475015638437,,,-0.11170192896697362,-0.036338934142950315,-0.029604089312271747,0.38443731796526454,0.028650358572610442,-0.14133308515182336,1.0,0.11740147958737324,0.2017236895536738,0.15559964259840753,0.08183991714711229,0.3300777223216444,0.053129611536813705,0.0908098151353012,0.3569022303497852,-0.0038703124303469177,0.36191716169167537,0.013412560801919805,-0.029200986797601202
alpha030,0.13653226798154394,0.007964336247606783,0.02571663590569411,0.07111735808285492,0.11739183937417713,0.10786648817244755,0.05769580671381227,,0.028486117100005114,,,0.07196564199444191,0.11572761008187452,0.17722828334445437,0.2657496815678203,0.00733572726641437,0.06576413326839349,0.11740147958737324,1.0,0.1550887933060682,0.25310349493655604,0.28243291631074335,0.37472057016721294,0.2528069954364543,0.15155160849996457,0.4003839080271726,0.0003847678518301607,0.26865360107034725,0.293740537152493,-0.03158395192732877
alpha060,-0.05571729288227454,0.002896265807868726,-0.03900278048129753,-0.07529286321399734,-0.010914482414817732,0.00015978856992925842,0.02000731195210553,,-0.015411157775583332,,,-0.0458936068053864,0.012348450443940413,0.0559271438798878,0.6445619082984341,-0.0549220859663663,-0.06328099175764745,0.2017236895536738,0.1550887933060682,1.0,0.2797408759120337,0.030689164637180702,0.29077251588638836,0.10299217481332694,-0.007313925033586271,0.26982148376724036,-0.008578787331406972,0.2671694509005387,-0.023092705006099893,-0.0043980943395382265
alpha056,0.0808411126218491,0.0032934848050583175,0.007881186620477307,0.01949304429080718,0.030492282609707034,0.03165390260817708,0.048926831719246326,,0.021634778533200963,,,0.05790364066991239,-0.0010792909208843379,0.18230305996472,0.36815108908439187,-0.024749059983071673,0.0803218888938882,0.15559964259840753,0.25310349493655604,0.2797408759120337,1.0,0.1699247568617437,0.5946425502934543,0.11650696293032435,0.14678859855158385,0.5500828841802128,-0.0002605002886469522,0.5150316517318012,0.28647016572661055,0.02878764739491438
alpha047,0.3182831102643201,0.02523928911952851,0.038614983872552806,0.17485502689298466,0.19949521178506033,0.22859195419509362,0.10237133970100366,,0.016325697664440957,,,0.10818502316949115,0.16984747069884495,0.10348113687410711,0.2600125328043648,-0.0008899805665632961,0.12659077061729263,0.08183991714711229,0.28243291631074335,0.030689164637180702,0.1699247568617437,1.0,0.20052828498821335,0.31913434432049176,0.3046983066275547,0.2983378005485898,0.0015641218017903229,0.17841854245856142,0.20975247757718016,-0.03600665153434664
alpha025,0.09750249638920155,0.005063171256357453,0.011986210355805861,0.0450880791814793,0.09532308123788318,0.13925420476049222,0.073486343354651,,0.01821578251124076,,,0.05707779507843065,-0.02975135318386464,0.21817822895205827,0.439931091339617,-0.024546533086463967,0.07561092981749318,0.3300777223216444,0.37472057016721294,0.29077251588638836,0.5946425502934543,0.20052828498821335,1.0,0.1375700820488727,0.18670237317810268,0.8256595603522718,0.0012427921944381938,0.8217022807121793,0.23597221520513123,-0.002054604898372641
alpha043,0.11159200305744191,0.00853794513286425,0.03983501269764714,0.01881853425905649,0.0855087189886642,0.07604212194069776,0.06894316615974165,,0.03155445628329681,,,0.10848723071529416,0.44547612986011326,0.10362187608858404,0.1414772801182523,0.004603010225198612,0.09288121386420167,0.053129611536813705,0.2528069954364543,0.10299217481332694,0.11650696293032435,0.31913434432049176,0.1375700820488727,1.0,0.10609836305248253,0.1672815084691748,0.004076759873780413,0.10073293351653557,0.0333242639114757,0.005945745731548871
alpha032,0.12344068475633636,-0.0040853976593615525,0.03965695546944656,0.0541652042625584,0.05530016130740968,0.06881034151629718,0.042562984061514965,,0.02451865141405328,,,0.0473805131703407,0.012972750037082734,0.08749168044935408,0.11693886547785586,-0.01062080570154613,0.0923236761893435,0.0908098151353012,0.15155160849996457,-0.007313925033586271,0.14678859855158385,0.3046983066275547,0.18670237317810268,0.10609836305248253,1.0,0.23384830570623633,-0.05839649121516398,0.15567214485025382,0.18071228426737013,0.09811271060175492
alpha020,0.12046330391136698,0.002803238664343339,0.03613562451332245,0.07408512167605061,0.0968326488356185,0.1435982962955952,0.07668202915822626,,0.03770501425419992,,,0.06270985033579551,-0.04648419670583168,0.27328348613893894,0.5469760398193158,-0.023653371402355454,0.11751173995464874,0.3569022303497852,0.4003839080271726,0.26982148376724036,0.5500828841802128,0.2983378005485898,0.8256595603522718,0.1672815084691748,0.23384830570623633,1.0,0.013835933735370917,0.8221213351066633,0.3311005031751499,0.018624210190188006
alpha018,-0.023622138054050352,-0.013615065447988753,0.032796404410813114,0.001964721331372699,-0.058465425922337756,-0.027391774096289002,-0.02964113598502396,,0.03957464755376245,,,-0.0039376429997429125,-0.0022164273350000307,0.021557697020805806,-0.005822639949503201,0.017631269957874087,0.030887004547295868,-0.0038703124303469177,0.0003847678518301607,-0.008578787331406972,-0.0002605002886469522,0.0015641218017903229,0.0012427921944381938,0.004076759873780413,-0.05839649121516398,0.013835933735370917,1.0,0.0027613107835715925,-0.005122646173022298,-0.013619758331319893
alpha009,0.06311341981285276,0.0036895950309762298,-0.0007320596582801552,0.025385370420314107,0.07511943665164487,0.1357174527224862,0.06686918782694254,,0.011872217817830296,,,0.029155507010762662,-0.06274542974571745,0.21263719126660652,0.5060914102982047,-0.026654842535563647,0.051751105616737306,0.36191716169167537,0.26865360107034725,0.2671694509005387,0.5150316517318012,0.17841854245856142,0.8217022807121793,0.10073293351653557,0.15567214485025382,0.8221213351066633,0.0027613107835715925,1.0,0.20745717114567777,-0.006441761540101793
alpha023,0.14514270521945588,0.0036058463326704908,0.06529693808568558,0.08606754723394947,0.08136320841275604,0.09061361028055201,0.05292174461562082,,0.04605168414425693,,,0.13715597860548764,-0.1538710038491059,0.19512824224043657,0.1106251549707848,0.03993674392054508,0.13729422049270684,0.013412560801919805,0.293740537152493,-0.023092705006099893,0.28647016572661055,0.20975247757718016,0.23597221520513123,0.0333242639114757,0.18071228426737013,0.3311005031751499,-0.005122646173022298,0.20745717114567777,1.0,-0.03589043091396622
momentum_12_1,-0.0017561987252722713,0.014104471887102711,0.016038891626318802,-0.02519436774103815,-0.15259606331878742,-0.12858094451356095,0.018317868522770477,,0.011749511865720232,,,-0.03820553565516941,-0.00534356740579046,0.10630670467345224,-0.03129780719450538,-0.025715193172780787,0.1299964255984809,-0.029200986797601202,-0.03158395192732877,-0.0043980943395382265,0.02878764739491438,-0.03600665153434664,-0.002054604898372641,0.005945745731548871,0.09811271060175492,0.018624210190188006,-0.013619758331319893,-0.006441761540101793,-0.03589043091396622,1.0
